n,planta,especie,tratamiento,dato,fruitset,seedset2
130,oro6,or,ag,1,0,0
131,oro6,or,en,1,1,280
132,oro6,or,oc,1,0,0
133,oro6,or,cn,1,0,0
134,oro6,or,os,1,0,0
135,oro6,or,ot,1,0,0
136,r10,or,ag,1,0,0
137,r10,or,en,1,1,74
138,r10,or,oc,1,0,0
139,r10,or,cn,1,1,95
140,r10,or,os,1,1,59
141,r10,or,ot,1,0,0
142,c17,oc,cn,1,0,0
143,c51',oc,ot,1,0,0
144,c51',oc,gt,1,0,0
145,c53,oc,ag,1,0,0
146,c53,oc,au,1,0,0
147,c19,oc,cn,1,1,78
148,c53,oc,os,1,0,0
149,c53,oc,ot,1,0,0
150,c21,oc,ag,1,0,0
151,c21,oc,au,1,0,0
152,c19,oc,cn,1,1,126
153,c21,oc,os,1,0,0
154,c21,oc,ot,1,0,0
155,c21,oc,gt,1,0,0
156,c57,oc,ag,1,0,0
157,c57,oc,au,1,0,0
158,c21,oc,cn,1,1,
159,c57,oc,or,1,0,0
160,c57,oc,os,1,0,0
161,c57,oc,ot,1,0,0
162,c4,oc,ag,1,0,0
163,c4,oc,au,1,0,0
164,c26,oc,en,1,1,91
165,c22,oc,cn,1,1,
166,c4,oc,or,1,0,0
167,c4,oc,os,1,0,0
168,c4,oc,ot,1,0,0
169,c4,oc,gt,1,0,0
170,c5.1,oc,ag,1,0,0
171,c5.1,oc,or,1,0,0
172,c5.1,oc,os,1,0,0
173,c5.1,oc,ot,1,0,0
174,c17,oc,ag,1,0,0
175,c17,oc,au,1,0,0
176,c30,oc,en,1,1,
177,c30,oc,cn,1,1,110
178,c17,oc,or,1,0,0
179,c17,oc,os,1,0,0
180,c17,oc,ot,1,0,0
181,c17,oc,gt,1,0,0
